id;ncm;cest;segmento;item;descricao;mva;aliquota;fundamentacao
1;3815.12.10;01.001.00;AUTOPEÇAS;1;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
2;3815.12.90;01.001.00;AUTOPEÇAS;1;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
3;3917;01.002.00;AUTOPEÇAS;2;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
4;3918.10.00;01.003.00;AUTOPEÇAS;3;Protetores de caçamba;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
6;3926.30.00;01.005.00;AUTOPEÇAS;5;Frisos, decalques, molduras e acabamentos;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
7;4010.3;01.006.00;AUTOPEÇAS;6;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
8;5910.00.00;01.006.00;AUTOPEÇAS;6;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
9;4016.93.00;01.007.00;AUTOPEÇAS;7;Juntas, gaxetas e outros elementos com função semelhante de vedação;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
11;4016.10.10;01.008.00;AUTOPEÇAS;8;Partes de veículos automóveis, tratores e máquinas autopropulsadas;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
12;4016.99.90;01.009.00;AUTOPEÇAS;9;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
13;5705.00.00;01.009.00;AUTOPEÇAS;9;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
14;5903.90.00;01.010.00;AUTOPEÇAS;10;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
15;5909.00.00;01.011.00;AUTOPEÇAS;11;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
16;6306.1;01.012.00;AUTOPEÇAS;12;Encerados e toldos;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
17;6506.10.00;01.013.00;AUTOPEÇAS;13;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
18;6813;01.014.00;AUTOPEÇAS;14;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
19;7007.11.00;01.015.00;AUTOPEÇAS;15;Vidros de dimensões e formatos que permitam aplicação automotiva;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
20;7007.21.00;01.015.00;AUTOPEÇAS;15;Vidros de dimensões e formatos que permitam aplicação automotiva;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
21;7009.10.00;01.016.00;AUTOPEÇAS;16;Espelhos retrovisores;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
22;7014.00.00;01.017.00;AUTOPEÇAS;17;Lentes de faróis, lanternas e outros utensílios;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
23;7311.00.00;01.018.00;AUTOPEÇAS;18;Cilindro de aço para GNV (gás natural veicular);41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
24;7311.00.00;01.019.00;AUTOPEÇAS;19;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
25;7320;01.020.00;AUTOPEÇAS;20;Molas e folhas de molas, de ferro ou aço;41,24;18;Anexo XIV da Portaria CAT nº 68/2019 c/c Portaria CAT 45/17, alterada pela Portaria CAT 005/2022
